SiteName,TimeZoneDisplayName10,CrestronTimeZoneId,IgnoreDaylightSavingRules
ABA__,(UTC+01:00) West Central Africa,41,FALSE
ABIDJ,(UTC) Coordinated Universal Time,35,FALSE
ABUJA,(UTC+01:00) West Central Africa,41,FALSE
ACCRA,(UTC) Coordinated Universal Time,35,FALSE
ADELA,(UTC+09:30) Adelaide,87,FALSE
ALABA,(UTC+08:00) Taipei,78,FALSE
ALBER,(UTC-07:00) Mountain Time (US & Canada),7,FALSE
ALBUQ,(UTC-07:00) Mountain Time (US & Canada),7,FALSE
ANCHO,(UTC-09:00) Alaska,4,FALSE
ANTAN,(UTC+03:00) Nairobi,55,FALSE
ANTOF,(UTC-04:00) Santiago,20,FALSE
APIA_,(UTC+13:00) Samoa,1,TRUE
AREQU,"(UTC-05:00) Bogota, Lima, Quito, Rio Branco",16,FALSE
ARIZO,(UTC-07:00) Arizona,8,FALSE
ASUNC,(UTC-04:00) Asuncion,22,FALSE
ATLAN,(UTC-05:00) Eastern Time (US & Canada),14,FALSE
AUCKL,"(UTC+12:00) Auckland, Wellington",96,FALSE
AUSTI,(UTC-06:00) Central Time (US & Canada),10,FALSE
BACCA,(UTC-03:00) City of Buenos Aires,27,FALSE
BACOL,(UTC+08:00) Taipei,78,FALSE
BAHIA,(UTC-03:00) Brasilia,24,FALSE
BAIRE,(UTC-03:00) City of Buenos Aires,27,FALSE
BAKER,(UTC-08:00) Pacific Time (US & Canada),5,FALSE
BANGK,"(UTC+07:00) Bangkok, Hanoi, Jakarta",75,FALSE
BARCE,"(UTC+00:00) Dublin, Edinburgh, Lisbon, London",33,FALSE
BARRA,"(UTC-05:00) Bogota, Lima, Quito, Rio Branco",16,FALSE
BEIRA,"(UTC+02:00) Harare, Pretoria",47,FALSE
BELEM,(UTC-03:00) Brasilia,24,FALSE
BELO_,(UTC-03:00) Brasilia,24,FALSE
BENEM,"(UTC-06:00) Guadalajara, Mexico City, Monterrey",13,FALSE
BENGA,"(UTC+05:30) Chennai, Kolkata, Mumbai, New Delhi",68,FALSE
BENIN,(UTC+01:00) West Central Africa,41,FALSE
BENTO,(UTC-06:00) Central Time (US & Canada),10,FALSE
BILLI,(UTC-07:00) Mountain Time (US & Canada),7,FALSE
BIRMI,(UTC-06:00) Central Time (US & Canada),10,FALSE
BISMA,(UTC-06:00) Central Time (US & Canada),10,FALSE
BOGOT,"(UTC-05:00) Bogota, Lima, Quito, Rio Branco",16,FALSE
BOISE,(UTC-07:00) Mountain Time (US & Canada),7,FALSE
BOSTO,(UTC-05:00) Eastern Time (US & Canada),14,FALSE
BOUNT,(UTC-07:00) Mountain Time (US & Canada),7,FALSE
BRASI,"(UTC-04:00) Georgetown, La Paz, Manaus, San Juan",19,FALSE
BRAZZ,(UTC+01:00) West Central Africa,41,FALSE
BRIGH,(UTC-07:00) Mountain Time (US & Canada),7,FALSE
BRISB,(UTC+10:00) Brisbane,89,FALSE
BROUG,(UTC-06:00) Central Time (US & Canada),10,FALSE
BRUSS,"(UTC+01:00) Amsterdam, Berlin, Bern, Rome, Stockholm, Vienna",39,FALSE
BUDAP,"(UTC+01:00) Amsterdam, Berlin, Bern, Rome, Stockholm, Vienna",37,FALSE
BURLE,(UTC-07:00) Mountain Time (US & Canada),7,FALSE
BUSAN,(UTC+09:00) Seoul,83,FALSE
CAGAY,(UTC+08:00) Taipei,78,FALSE
CALAB,(UTC+01:00) West Central Africa,41,FALSE
CALDW,(UTC-07:00) Mountain Time (US & Canada),7,FALSE
CALGA,(UTC-07:00) Mountain Time (US & Canada),7,FALSE
CALI_,"(UTC-05:00) Bogota, Lima, Quito, Rio Branco",16,FALSE
CAMPI,(UTC-03:00) Brasilia,24,FALSE
CAMPO,((UTC-04:00) Cuiaba),21,FALSE
CANCU,"(UTC-06:00) Guadalajara, Mexico City, Monterrey",13,TRUE
CAPEC,(UTC) Coordinated Universal Time,35,FALSE
CAPET,"(UTC+02:00) Harare, Pretoria",47,FALSE
CARAC,(UTC-04:00) Caracas,18,FALSE
CASPE,(UTC-07:00) Mountain Time (US & Canada),7,FALSE
CEBUP,(UTC+08:00) Taipei,78,FALSE
CEDAR,(UTC-07:00) Mountain Time (US & Canada),7,FALSE
CHARL,(UTC-05:00) Eastern Time (US & Canada),14,FALSE
CHICA,(UTC-06:00) Central Time (US & Canada),10,FALSE
CHICL,"(UTC-05:00) Bogota, Lima, Quito, Rio Branco",16,FALSE
CHIHU,"(UTC-07:00) Chihuahua, La Paz, Mazatlan",9,TRUE
CHORR,"(UTC-05:00) Bogota, Lima, Quito, Rio Branco",16,FALSE
CINCI,(UTC-05:00) Eastern Time (US & Canada),14,FALSE
CIUJU,(UTC-07:00) Mountain Time (US & Canada),7,FALSE
CLEVE,(UTC-05:00) Eastern Time (US & Canada),14,FALSE
COBAN,(UTC-06:00) Central America,12,FALSE
COCHA,"(UTC-04:00) Georgetown, La Paz, Manaus, San Juan",19,FALSE
CODY_,(UTC-07:00) Mountain Time (US & Canada),7,FALSE
COEUR,(UTC-07:00) Mountain Time (US & Canada),7,FALSE
COLJU,"(UTC-07:00) Chihuahua, La Paz, Mazatlan",9,TRUE
COLOR,(UTC-07:00) Mountain Time (US & Canada),7,FALSE
COLSC,(UTC-05:00) Eastern Time (US & Canada),14,FALSE
COLUM,(UTC-05:00) Eastern Time (US & Canada),14,FALSE
CONCE,(UTC-04:00) Santiago,20,FALSE
COPEN,"(UTC+01:00) Brussels, Copenhagen, Madrid, Paris",39,FALSE
CORDO,(UTC-03:00) City of Buenos Aires,27,FALSE
CRIVE,(UTC-08:00) Pacific Time (US & Canada),5,FALSE
CUERN,"(UTC-06:00) Guadalajara, Mexico City, Monterrey",13,FALSE
CULIA,"(UTC-06:00) Guadalajara, Mexico City, Monterrey",13,FALSE
CURIT,(UTC-03:00) Brasilia,24,FALSE
CUSCO,"(UTC-05:00) Bogota, Lima, Quito, Rio Branco",16,FALSE
DALLA,(UTC-06:00) Central Time (US & Canada),10,FALSE
DAVAO,(UTC+08:00) Taipei,78,FALSE
DENVE,(UTC-07:00) Mountain Time (US & Canada),7,FALSE
DETRO,(UTC-05:00) Eastern Time (US & Canada),14,FALSE
DMOIN,(UTC-06:00) Central Time (US & Canada),10,FALSE
DPEAK,(UTC-07:00) Mountain Time (US & Canada),7,FALSE
DRAPE,(UTC-07:00) Mountain Time (US & Canada),7,FALSE
DUBAI,"(UTC+04:00) Abu Dhabi, Muscat",60,FALSE
DUBLI,"(UTC+00:00) Dublin, Edinburgh, Lisbon, London",33,FALSE
DURBA,"(UTC+02:00) Harare, Pretoria",47,FALSE
EDINB,"(UTC+00:00) Dublin, Edinburgh, Lisbon, London",33,FALSE
